name,id,lon,lat
Muong Te,48/01,102.83333333333333,22.366666666666667
Sin Ho,48/02,103.23333333333333,22.366666666666667
Tam Duong,48/03,103.48333333333333,22.416666666666668
Than Uyen,48/06,103.88333333333334,21.95
Muong Lay(Lai Chau),48800,103.15,22.066666666666666
Tuan Giao,48/09,103.41666666666667,22.583333333333332
Pha Din,48/10,103.51666666666667,21.566666666666666
Dien Bien,48811.0,103.0,21.366666666666667
Phieng Lanh,48/07,103.56666666666666,21.85
Son La,48806,103.9,21.333333333333332
Song Ma,48/16,103.73333333333333,21.066666666666666
Co Noi,48/17,104.15,21.133333333333333
Yen Chau,48/18,104.3,21.05
Bac Yen,48/19,104.41666666666667,21.25
Phu Yen,48/20,104.63333333333334,21.266666666666666
Moc Chau,48/25,104.68333333333334,20.833333333333332
Bac Ha,48/30,104.28333333333333,22.533333333333335
Sa Pa,48802,103.81666666666666,22.35
Mu.C.Chai,48/08,104.05,21.866666666666667
Yen Bai,48805,104.86666666666666,21.7
Van Chan,48/14,104.51666666666667,21.583333333333332
Luc Yen,48/35,104.71666666666667,22.1
Ha Giang,48805,104.96666666666667,22.816666666666666
Hoang S Phi,48/31,104.68333333333334,22.75
Bac Me,48/32,105.36666666666666,22.733333333333334
Bac Quang,48/34,104.86666666666666,22.5
T.Quang,48812,105.21666666666667,21.816666666666666
Ham Yen,48/36,105.03333333333333,22.066666666666666
Chiem Hoa,48/37,105.26666666666667,22.15
Cho Ra,48/39,105.71666666666667,22.45
Ngan Son,48/42,105.98333333333333,22.433333333333334
Bac Can,48810,105.83333333333333,22.15
Thai Nguyen,48831,105.83333333333333,21.6
Minh Dai,48/23,105.05,21.166666666666668
Phu Ho,48/51,105.23333333333333,21.45
Viet Tri,48813,105.41666666666667,21.3
Vinh Yen,48814,105.6,21.316666666666666
Tam Dao,48/52,105.65,21.466666666666665